COUNT,RAW,SKF,TIMETAKEN
719,608.86,609.72,1
720,608.86,609.7,1
721,608.86,609.69,1
722,609.34,609.68,1
723,609.34,609.67,1
724,609.1,609.66,1
725,609.1,609.65,1
726,608.78,609.64,1
727,608.78,609.62,1
728,608.78,609.61,1
729,608.84,609.59,1
730,608.84,609.58,1
731,608.93,609.57,1
732,608.93,609.56,1
733,608.93,609.55,1
734,608.74,609.53,1
735,608.74,609.52,1
736,608.65,609.51,1
737,608.65,609.49,1
738,608.65,609.48,1
739,608.77,609.47,1
740,608.77,609.46,1
741,608.94,609.45,1
742,608.94,609.44,1
743,608.94,609.43,1
744,628.34,609.72,1
745,628.34,610.05,1
746,608.76,610.02,1
747,608.76,610,1
748,608.64,609.97,1
749,608.64,609.94,1
750,608.64,609.92,1
751,608.64,609.89,1
752,608.64,609.87,1
753,608.76,609.85,1
754,608.76,609.82,1
755,608.76,609.8,1
756,608.84,609.79,1
757,608.84,609.77,1
758,608.76,609.75,1
759,608.76,609.73,1
760,608.76,609.71,1
761,608.76,609.7,1
762,608.76,609.68,1
763,608.71,609.66,1
764,608.71,609.64,1
765,608.94,609.63,1
766,608.94,609.62,1
767,608.94,609.61,1
768,627.24,609.91,1
769,627.24,610.25,1
770,609.07,610.22,1
771,609.07,610.2,1
772,609.07,610.17,1
773,608.81,610.14,1
774,608.81,610.11,1
775,608.86,610.09,1
776,608.86,610.06,1
777,608.86,610.04,1
778,608.91,610.01,1
779,608.91,609.99,1
780,608.64,609.96,1
781,608.64,609.94,1
782,608.64,609.91,1
783,608.86,609.89,1
784,608.86,609.87,1
785,609.08,609.85,1
786,609.08,609.84,1
787,608.78,609.82,1
788,608.78,609.8,1
789,608.78,609.78,1
790,608.93,609.76,1
791,608.93,609.75,1
792,619.02,609.92,1
793,619.02,610.1,1
794,619.02,610.28,1
795,609.05,610.26,1
796,609.05,610.23,1
797,608.91,610.2,1
798,608.91,610.17,1
799,608.91,610.15,1
800,608.74,610.12,1
801,608.74,610.09,1
802,608.79,610.06,1
803,608.79,610.03,1
804,608.79,610.01,1
805,608.93,609.98,1
806,608.93,609.96,1
807,608.94,609.94,1
808,608.94,609.92,1
809,608.88,609.9,1
810,608.88,609.88,1
811,608.88,609.86,1
812,608.98,609.85,1
813,608.98,609.83,1
814,608.62,609.81,1
815,608.62,609.79,1
816,608.62,609.76,1
817,608.28,609.74,1
818,608.28,609.71,1
819,615.77,609.82,1
820,615.77,609.93,1
