RAW,SKF,TIMETAKEN,,RAW,SKF
614.63,611.35,1,,,
609.2,611.3,1,,,
609.2,611.25,1,,,
609.2,611.21,1,,,
614.67,611.29,1,,,
614.67,611.36,1,,,
608.84,611.3,1,,,
608.84,611.25,1,,,
608.84,611.19,1,,,
617.88,611.35,1,,,
617.88,611.5,1,,,
609.59,611.45,1,,,
609.59,611.41,1,,,
609.59,611.36,1,,,
609.02,611.31,1,,,
609.02,611.25,1,,,
612.31,611.28,1,,,
612.31,611.3,1,,,
612.31,611.33,1,,,
609.38,611.28,1,,,
609.38,611.24,1,,,
609.45,611.2,1,,,
609.45,611.16,1,,,
609.17,611.11,1,,,
609.17,611.07,1,,,
609.17,611.03,1,,,
609.51,610.99,1,,,
609.51,610.96,1,,,
