RAW,SKF
613.47,610.67
617.97,610.82
617.97,610.98
613.14,611.03
613.14,611.08
610.15,611.06
610.15,611.04
610.15,611.02
617.21,611.15
617.21,611.29
607.70,611.21
607.70,611.12
607.70,611.04
610.20,611.02
610.20,611.00
620.12,611.22
620.12,611.44
607.64,611.34
607.64,611.24
607.64,611.14
618.07,611.33
618.07,611.52
611.59,611.53
611.59,611.53
611.59,611.53
618.51,611.72
618.51,611.91
621.89,612.20
621.89,612.50
621.89,612.81
607.87,612.64
607.87,612.47
611.80,612.45
611.80,612.43
619.81,612.67
619.81,612.92
619.81,613.17
610.02,613.05
610.02,612.94
618.78,613.16
618.78,613.37
618.78,613.57
614.52,613.61
614.52,613.64
608.69,613.46
608.69,613.29
612.88,613.27
612.88,613.26
612.88,613.25
618.51,613.42
618.51,613.60
612.63,613.56
612.63,613.53
612.63,613.50
610.66,613.41
610.66,613.32
610.87,613.24
610.87,613.17
610.87,613.10
618.94,613.28
618.94,613.46
607.70,613.27
607.70,613.09
626.99,613.56
626.99,614.06
626.99,614.58
607.63,614.28
607.63,613.98
610.86,613.84
610.86,613.71
610.86,613.58
616.33,613.70
616.33,613.81
614.40,613.84
614.40,613.86
614.90,613.90
613.21,613.87
613.21,613.85
624.02,614.21
624.02,614.59
611.57,614.47
611.57,614.35
611.57,614.24
628.71,614.80
628.71,615.39
607.81,615.04
607.81,614.70
607.81,614.37
609.22,614.12
609.22,613.88
612.83,613.83
612.83,613.78
612.83,613.74
610.47,613.59
610.47,613.46
624.06,613.91
