PACKET,RAW,SKF
1167,609.64,609.70
1168,609.64,609.70
1169,609.64,609.70
1170,608.58,609.68
1171,608.58,609.66
1172,609.12,609.66
1173,609.12,609.65
1174,609.12,609.64
1175,609.38,609.64
1176,609.38,609.63
1177,607.58,609.61
1178,607.58,609.58
1179,607.58,609.55
1180,614.01,609.61
1181,614.01,609.68
1182,609.34,609.67
1183,609.34,609.67
1184,609.34,609.66
1185,608.54,609.65
1186,608.54,609.63
1187,610.05,609.64
1188,610.05,609.64
1189,609.13,609.63
1190,609.13,609.63
1191,609.13,609.62
1192,608.23,609.60
1193,608.23,609.58
1194,609.29,609.58
1195,609.29,609.58
1196,609.29,609.57
1197,609.29,609.57
1198,609.29,609.56
1199,610.40,609.58
1200,610.40,609.59
1201,609.76,609.59
1202,609.76,609.59
1203,609.76,609.59
1204,610.66,609.61
1205,610.66,609.62
1206,608.47,609.61
1207,608.47,609.59
1208,608.47,609.58
1209,607.90,609.56
1210,607.90,609.54
1211,607.69,609.51
1212,607.69,609.49
1213,607.69,609.47
1214,607.56,609.44
1215,607.56,609.42
1216,612.25,609.46
1217,612.25,609.49
1218,612.25,609.53
1219,614.35,609.59
1220,614.35,609.66
1221,607.80,609.63
1222,607.80,609.61
1223,613.21,609.66
1224,613.21,609.71
1225,613.21,609.76
1226,609.25,609.75
1227,609.25,609.75
1228,609.09,609.74
1229,609.09,609.73
1230,609.09,609.72
1231,610.45,609.73
1232,610.45,609.74
1233,607.44,609.71
1234,607.44,609.67
1235,609.35,609.67
1236,609.35,609.66
1237,609.35,609.66
1238,607.69,609.63
1239,607.69,609.60
1240,611.90,609.64
1241,611.90,609.67
1242,611.90,609.70
1243,609.86,609.70
1244,609.86,609.71
1245,607.65,609.68
1246,607.65,609.65
1247,609.82,609.65
1248,609.82,609.65
1249,609.82,609.65
1250,607.53,609.63
1251,607.53,609.60
1252,608.19,609.58
1253,608.19,609.56
1254,608.19,609.54
1255,609.16,609.53
1256,609.16,609.53
1257,608.76,609.52
1258,608.76,609.51
1259,609.50,609.51
1260,609.50,609.51
1261,609.50,609.51
1262,609.01,609.50
1263,609.01,609.49
1264,609.70,609.50
1265,609.70,609.50
1266,608.50,609.49
1267,608.50,609.47
1268,608.50,609.46
1269,611.16,609.48
1270,611.16,609.50
1271,608.88,609.50
1272,608.88,609.49
1273,608.88,609.48
1274,611.81,609.51
1275,611.81,609.54
1276,607.65,609.51
1277,607.65,609.49
1278,607.65,609.47
1279,612.33,609.50
1280,612.33,609.54
1281,607.42,609.51
1282,607.42,609.48
1283,611.07,609.51
1284,611.07,609.53
1285,611.07,609.55
1286,621.33,609.71
1287,621.33,609.88
1288,608.94,609.86
1289,608.94,609.85
1290,608.22,609.82
1291,608.22,609.80
1292,608.22,609.77
1293,607.75,609.74
1294,607.75,609.71
1295,610.23,609.71
1296,610.23,609.72
1297,610.23,609.73
1298,610.07,609.74
1299,610.07,609.74
1300,607.46,609.71
1301,607.46,609.67
1302,609.57,609.67
1303,609.57,609.67
1304,609.57,609.67
1305,622.52,609.86
1306,622.52,610.07
1307,614.47,610.15
1308,614.47,610.23
1309,614.47,610.31
1310,614.99,610.40
1311,614.99,610.49
1312,613.47,610.55
1313,613.47,610.61
1314,613.47,610.67
1315,617.97,610.82
1316,617.97,610.98
1317,613.14,611.03
1318,613.14,611.08
1319,610.15,611.06
1320,610.15,611.04
1321,610.15,611.02
1322,617.21,611.15
1323,617.21,611.29
1324,607.70,611.21
1325,607.70,611.12
1326,607.70,611.04
1327,610.20,611.02
1328,610.20,611.00
1329,620.12,611.22
1330,620.12,611.44
1331,607.64,611.34
1332,607.64,611.24
1333,607.64,611.14
1334,618.07,611.33
