RAW,SKF
612.38,608.08
612.38,608.10
612.38,608.13
607.77,608.12
607.77,608.12
607.69,608.12
607.69,608.12
607.79,608.11
607.79,608.11
607.79,608.11
608.08,608.11
608.08,608.11
608.03,608.11
608.03,608.11
608.03,608.11
607.86,608.11
607.86,608.11
607.67,608.10
607.67,608.10
607.67,608.10
607.86,608.10
607.86,608.10
607.94,608.10
607.94,608.10
611.56,608.11
611.56,608.13
611.56,608.15
607.54,608.15
607.54,608.14
607.79,608.14
607.79,608.14
607.79,608.14
607.82,608.14
607.82,608.13
607.89,608.13
607.89,608.13
607.89,608.13
607.94,608.13
607.94,608.13
608.13,608.13
608.13,608.13
608.07,608.13
608.07,608.13
608.07,608.13
607.82,608.13
607.82,608.12
607.80,608.12
607.80,608.12
607.80,608.12
607.86,608.12
607.86,608.12
608.02,608.12
608.02,608.11
608.02,608.11
607.69,608.11
607.69,608.11
607.94,608.11
607.94,608.11
607.94,608.11
607.94,608.11
607.94,608.11
608.06,608.11
608.06,608.11
607.58,608.10
607.58,608.10
607.58,608.10
607.76,608.10
607.76,608.09
607.89,608.09
607.89,608.09
607.89,608.09
607.61,608.09
607.61,608.09
607.81,608.08
607.81,608.08
607.81,608.08
610.30,608.09
610.30,608.10
607.81,608.10
607.81,608.10
607.76,608.10
607.76,608.10
607.76,608.10
607.71,608.09
607.71,608.09
607.91,608.09
607.91,608.09
607.91,608.09
607.88,608.09
607.88,608.09
607.50,608.08
607.50,608.08
607.50,608.08
607.75,608.08
607.75,608.07
