PACKET,RAW,SKF
905,607.89,608.08
906,607.89,608.08
907,607.89,608.07
908,607.81,608.07
909,607.81,608.07
910,607.89,608.07
911,607.89,608.07
912,607.89,608.07
913,607.84,608.07
914,607.84,608.07
915,607.77,608.06
916,607.77,608.06
917,607.77,608.06
918,608.01,608.06
919,608.01,608.06
920,607.93,608.06
921,607.93,608.06
922,611.42,608.08
923,611.42,608.10
924,611.42,608.11
925,608.08,608.11
926,608.08,608.11
927,607.86,608.11
928,607.86,608.11
929,607.86,608.11
930,607.92,608.11
931,607.92,608.11
932,607.79,608.11
933,607.79,608.10
934,607.79,608.10
935,607.79,608.10
936,607.79,608.10
937,607.84,608.10
938,607.84,608.10
939,607.84,608.09
940,607.83,608.09
941,607.83,608.09
942,607.94,608.09
943,607.94,608.09
944,607.76,608.09
945,607.76,608.09
946,607.76,608.08
947,607.65,608.08
948,607.65,608.08
949,607.96,608.08
950,607.96,608.08
951,607.96,608.08
952,607.67,608.08
953,607.67,608.07
954,607.93,608.07
955,607.93,608.07
956,607.93,608.07
957,607.80,608.07
958,607.80,608.07
959,607.87,608.07
960,607.87,608.07
961,607.87,608.07
962,607.90,608.06
963,607.90,608.06
964,607.82,608.06
965,607.82,608.06
966,607.79,608.06
967,607.79,608.06
968,607.79,608.06
969,607.74,608.06
970,607.74,608.05
971,607.84,608.05
972,607.84,608.05
973,607.84,608.05
974,611.72,608.07
975,611.72,608.09
976,607.65,608.09
977,607.65,608.08
978,607.65,608.08
979,607.75,608.08
980,607.75,608.08
981,607.72,608.08
982,607.72,608.07
983,607.89,608.07
984,607.89,608.07
985,607.89,608.07
986,607.86,608.07
987,607.86,608.07
988,607.77,608.07
989,607.77,608.07
990,607.77,608.06
991,607.97,608.06
992,607.97,608.06
993,607.91,608.06
994,607.91,608.06
995,607.91,608.06
996,607.78,608.06
997,607.78,608.06
998,612.38,608.08
999,612.38,608.10
1000,612.38,608.13
1001,607.77,608.12
1002,607.77,608.12
1003,607.69,608.12
1004,607.69,608.12
1005,607.79,608.11
1006,607.79,608.11
1007,607.79,608.11
1008,608.08,608.11
1009,608.08,608.11
1010,608.03,608.11
1011,608.03,608.11
1012,608.03,608.11
1013,607.86,608.11
1014,607.86,608.11
1015,607.67,608.10
1016,607.67,608.10
1017,607.67,608.10
1018,607.86,608.10
1019,607.86,608.10
1020,607.94,608.10
1021,607.94,608.10
1022,611.56,608.11
1023,611.56,608.13
1024,611.56,608.15
1025,607.54,608.15
1026,607.54,608.14
1027,607.79,608.14
1028,607.79,608.14
1029,607.79,608.14
1030,607.82,608.14
1031,607.82,608.13
1032,607.89,608.13
1033,607.89,608.13
1034,607.89,608.13
1035,607.94,608.13
1036,607.94,608.13
1037,608.13,608.13
1038,608.13,608.13
1039,608.07,608.13
1040,608.07,608.13
1041,608.07,608.13
1042,607.82,608.13
1043,607.82,608.12
1044,607.80,608.12
1045,607.80,608.12
1046,607.80,608.12
1047,607.86,608.12
1048,607.86,608.12
1049,608.02,608.12
1050,608.02,608.11
1051,608.02,608.11
1052,607.69,608.11
1053,607.69,608.11
1054,607.94,608.11
1055,607.94,608.11
1056,607.94,608.11
1057,607.94,608.11
1058,607.94,608.11
1059,608.06,608.11
1060,608.06,608.11
1061,607.58,608.10
1062,607.58,608.10
1063,607.58,608.10
1064,607.76,608.10
1065,607.76,608.09
1066,607.89,608.09
1067,607.89,608.09
1068,607.89,608.09
1069,607.61,608.09
1070,607.61,608.09
1071,607.81,608.08
1072,607.81,608.08
1073,607.81,608.08
1074,610.30,608.09
1075,610.30,608.10
1076,607.81,608.10
1077,607.81,608.10
1078,607.76,608.10
1079,607.76,608.10
1080,607.76,608.10
1081,607.71,608.09
1082,607.71,608.09
1083,607.91,608.09
1084,607.91,608.09
1085,607.91,608.09
1086,607.88,608.09
1087,607.88,608.09
1088,607.50,608.08
1089,607.50,608.08
1090,607.50,608.08
1091,607.75,608.08
1092,607.75,608.07
1093,607.78,608.07
1094,607.78,608.07
1095,607.78,608.07
1096,607.80,608.07
1097,607.80,608.07
1098,613.70,608.10
1099,613.70,608.13
1100,608.04,608.12
1101,608.04,608.12
1102,608.04,608.12
1103,607.83,608.12
1104,607.83,608.12
1105,607.81,608.12
1106,607.81,608.12
1107,607.81,608.12
1108,607.74,608.11
1109,607.74,608.11
1110,607.66,608.11
1111,607.66,608.11
1112,607.66,608.10
1113,607.64,608.10
1114,607.64,608.10
1115,607.66,608.10
1116,607.66,608.09
1117,607.62,608.09
1118,607.62,608.09
1119,607.62,608.09
1120,607.58,608.08
1121,607.58,608.08
1122,611.76,608.10
1123,611.76,608.12
1124,611.76,608.14
1125,607.38,608.14
1126,607.38,608.13
1127,607.69,608.13
1128,607.69,608.13
1129,607.69,608.13
1130,607.54,608.12
1131,607.54,608.12
1132,607.72,608.12
1133,607.72,608.11
1134,607.72,608.11
1135,607.57,608.11
1136,607.57,608.11
1137,607.84,608.10
1138,607.84,608.10
1139,607.81,608.10
1140,607.81,608.10
1141,607.81,608.10
1142,607.59,608.09
1143,607.59,608.09
1144,607.51,608.09
1145,607.51,608.08
1146,607.51,608.08
1147,607.55,608.08
1148,607.55,608.08
1149,607.55,608.07
1150,607.55,608.07
1151,607.55,608.07
1152,607.65,608.06
1153,607.65,608.06
1154,607.59,608.06
1155,607.59,608.06
1156,607.65,608.05
1157,607.65,608.05
1158,607.65,608.05
1159,607.55,608.05
1160,607.55,608.04
1161,607.51,608.04
1162,607.51,608.04
1163,607.51,608.04
1164,607.43,608.03
1165,607.43,608.03
1166,607.65,608.03
1167,607.65,608.02
1168,607.65,608.02
1169,607.53,608.02
1170,607.53,608.02
1171,607.47,608.01
1172,607.47,608.01
1173,607.47,608.01
1174,613.74,608.04
1175,613.74,608.07
1176,607.54,608.07
1177,607.54,608.07
1178,607.73,608.06
1179,607.73,608.06
1180,607.73,608.06
1181,607.57,608.06
1182,607.57,608.05
1183,607.63,608.05
1184,607.63,608.05
1185,607.63,608.05
1186,607.58,608.04
1187,607.58,608.04
1188,607.45,608.04
1189,607.45,608.03
1190,607.45,608.03
1191,607.58,608.03
1192,607.58,608.02
1193,607.54,608.02
1194,607.54,608.02
1195,607.54,608.02
1196,607.39,608.01
1197,607.39,608.01
1198,616.09,608.06
1199,616.09,608.11
1200,607.56,608.11
1201,607.56,608.10
1202,607.56,608.10
1203,607.33,608.09
1204,607.33,608.09
1205,607.49,608.08
1206,607.49,608.08
1207,607.49,608.07
1208,607.66,608.07
1209,607.66,608.07
1210,607.30,608.06
1211,607.30,608.06
1212,607.30,608.05
1213,607.42,608.05
1214,607.42,608.04
1215,607.56,608.04
1216,607.56,608.04
1217,607.64,608.04
1218,607.64,608.03
1219,607.64,608.03
1220,607.42,608.03
1221,607.42,608.02
1222,611.20,608.04
1223,611.20,608.07
1224,611.20,608.09
1225,607.45,608.08
1226,607.45,608.08
1227,607.50,608.07
1228,607.50,608.07
1229,607.50,608.07
1230,607.55,608.06
1231,607.55,608.06
1232,607.65,608.06
1233,607.65,608.05
1234,607.65,608.05
1235,607.75,608.05
